Churn,customer_tenure,account_Contract,internet_InternetService,internet_TechSupport,account_Charges_Monthly,account_PaymentMethod,account_PaperlessBilling,customer_SeniorCitizen,Cuentas_Diarias
Yes,8,Month-to-month,Fiber optic,No,92.1,Electronic check,Yes,1,3.07
No,1,Month-to-month,DSL,No,44.6,Mailed check,No,0,1.4866666666666668
Yes,13,Month-to-month,Fiber optic,Yes,89.05,Bank transfer (automatic),Yes,1,2.9683333333333333
No,63,Two year,Fiber optic,No,97.45,Bank transfer (automatic),No,0,3.2483333333333335
Yes,8,Month-to-month,No,No internet service,19.65,Electronic check,No,1,0.6549999999999999
No,51,One year,No,No internet service,19.1,Electronic check,No,0,0.6366666666666667
No,35,Month-to-month,No,No internet service,25.6,Electronic check,Yes,0,0.8533333333333334
No,46,One year,No,No internet service,24.45,Bank transfer (automatic),Yes,0,0.815
Yes,41,One year,DSL,Yes,66.5,Bank transfer (automatic),Yes,0,2.216666666666667
No,54,Month-to-month,Fiber optic,No,109.55,Electronic check,No,0,3.6516666666666664
No,67,Two year,No,No internet service,25.1,Credit card (automatic),No,1,0.8366666666666667
No,12,Month-to-month,DSL,Yes,34.0,Mailed check,No,0,1.1333333333333333
No,70,Two year,Fiber optic,Yes,88.0,Credit card (automatic),Yes,0,2.933333333333333
No,10,Month-to-month,No,No internet service,19.8,Bank transfer (automatic),Yes,0,0.66
No,21,Month-to-month,Fiber optic,No,90.05,Electronic check,Yes,0,3.0016666666666665
Yes,31,Month-to-month,Fiber optic,Yes,78.45,Electronic check,Yes,0,2.615
Yes,3,Month-to-month,Fiber optic,Yes,88.3,Mailed check,Yes,1,2.9433333333333334
No,63,One year,Fiber optic,No,91.35,Electronic check,Yes,0,3.045
No,36,One year,DSL,Yes,70.7,Mailed check,Yes,0,2.356666666666667
Yes,46,One year,Fiber optic,No,95.25,Credit card (automatic),No,1,3.175
No,57,Month-to-month,Fiber optic,Yes,103.05,Electronic check,Yes,0,3.435
No,57,Two year,DSL,Yes,70.35,Credit card (automatic),Yes,0,2.3449999999999998
No,26,One year,DSL,No,51.55,Credit card (automatic),Yes,0,1.7183333333333333
Yes,10,Month-to-month,DSL,Yes,55.2,Credit card (automatic),No,0,1.84
No,63,Month-to-month,Fiber optic,Yes,105.4,Electronic check,No,0,3.5133333333333336
Yes,5,Month-to-month,Fiber optic,No,94.45,Electronic check,Yes,0,3.1483333333333334
No,72,Two year,No,No internet service,24.75,Bank transfer (automatic),No,0,0.825
Yes,1,Month-to-month,DSL,No,45.1,Mailed check,No,1,1.5033333333333334
No,54,Two year,DSL,Yes,60.0,Bank transfer (automatic),No,0,2.0
No,59,Month-to-month,Fiber optic,Yes,96.65,Bank transfer (automatic),Yes,0,3.2216666666666667
No,1,Month-to-month,DSL,No,25.25,Electronic check,No,0,0.8416666666666667
No,69,Two year,No,No internet service,24.45,Bank transfer (automatic),No,0,0.815
Yes,2,Month-to-month,No,No internet service,20.35,Mailed check,No,0,0.6783333333333333
No,12,One year,DSL,Yes,33.6,Mailed check,Yes,0,1.12
No,67,Two year,Fiber optic,Yes,102.9,Bank transfer (automatic),No,1,3.43
Yes,1,Month-to-month,DSL,No,55.8,Electronic check,Yes,1,1.8599999999999999
No,28,Month-to-month,No,No internet service,20.25,Mailed check,No,0,0.675
Yes,2,Month-to-month,DSL,No,44.95,Mailed check,No,1,1.4983333333333335
Yes,4,Month-to-month,Fiber optic,No,79.15,Electronic check,Yes,0,2.6383333333333336
Yes,1,Month-to-month,No,No internet service,20.25,Mailed check,No,0,0.675
No,33,Two year,No,No internet service,25.7,Credit card (automatic),No,0,0.8566666666666667
No,61,Month-to-month,Fiber optic,Yes,106.35,Electronic check,Yes,0,3.545
No,21,One year,DSL,No,64.85,Mailed check,No,0,2.1616666666666666
No,2,Month-to-month,DSL,No,49.95,Mailed check,No,1,1.665
No,8,Month-to-month,DSL,Yes,66.65,Electronic check,Yes,0,2.2216666666666667
No,68,One year,DSL,No,73.0,Credit card (automatic),Yes,0,2.433333333333333
Yes,4,Month-to-month,Fiber optic,No,90.05,Electronic check,Yes,0,3.0016666666666665
Yes,6,Month-to-month,Fiber optic,No,74.9,Electronic check,Yes,0,2.496666666666667
No,72,Two year,No,No internet service,25.65,Bank transfer (automatic),No,0,0.855
No,1,Month-to-month,No,No internet service,19.2,Electronic check,No,0,0.64
No,2,Month-to-month,Fiber optic,No,79.95,Electronic check,Yes,0,2.665
No,2,Month-to-month,DSL,No,24.5,Electronic check,No,0,0.8166666666666667
Yes,5,Month-to-month,Fiber optic,Yes,99.15,Mailed check,Yes,0,3.305
No,2,Month-to-month,No,No internet service,20.0,Mailed check,No,0,0.6666666666666666
Yes,1,Month-to-month,DSL,No,45.85,Mailed check,Yes,0,1.5283333333333333
No,61,Month-to-month,Fiber optic,No,82.15,Electronic check,Yes,1,2.7383333333333337
No,35,Month-to-month,Fiber optic,No,102.05,Bank transfer (automatic),No,1,3.4016666666666664
Yes,30,Month-to-month,Fiber optic,No,79.65,Mailed check,Yes,1,2.6550000000000002
Yes,17,Month-to-month,Fiber optic,No,85.35,Bank transfer (automatic),Yes,1,2.8449999999999998
Yes,6,Month-to-month,DSL,No,56.25,Electronic check,No,0,1.875
No,60,Month-to-month,Fiber optic,No,93.25,Electronic check,Yes,1,3.1083333333333334
Yes,68,One year,Fiber optic,Yes,108.45,Electronic check,No,0,3.615
No,52,Two year,DSL,Yes,66.25,Credit card (automatic),No,0,2.2083333333333335
Yes,1,Month-to-month,No,No internet service,20.5,Mailed check,Yes,0,0.6833333333333333
No,5,Month-to-month,DSL,Yes,51.0,Mailed check,Yes,0,1.7
No,6,Month-to-month,DSL,No,45.0,Credit card (automatic),No,0,1.5
No,1,Month-to-month,Fiber optic,No,89.35,Electronic check,Yes,0,2.978333333333333
No,66,One year,Fiber optic,No,88.9,Bank transfer (automatic),Yes,0,2.9633333333333334
Yes,1,Month-to-month,Fiber optic,No,74.35,Electronic check,Yes,0,2.478333333333333
No,72,Two year,No,No internet service,19.95,Bank transfer (automatic),No,0,0.6649999999999999
Yes,8,Month-to-month,Fiber optic,No,80.1,Bank transfer (automatic),Yes,0,2.67
No,24,Month-to-month,DSL,Yes,81.0,Bank transfer (automatic),No,0,2.7
No,8,Month-to-month,DSL,No,54.75,Mailed check,Yes,0,1.825
No,38,Month-to-month,DSL,No,24.85,Electronic check,Yes,1,0.8283333333333334
No,68,One year,Fiber optic,Yes,117.2,Credit card (automatic),Yes,0,3.9066666666666667
Yes,9,Month-to-month,Fiber optic,No,74.75,Electronic check,Yes,0,2.4916666666666667
Yes,19,Month-to-month,Fiber optic,No,79.85,Electronic check,Yes,1,2.6616666666666666
No,9,Month-to-month,DSL,Yes,64.95,Mailed check,No,0,2.165
Yes,7,Month-to-month,Fiber optic,No,86.25,Electronic check,Yes,0,2.875
Yes,40,Month-to-month,Fiber optic,No,101.3,Electronic check,Yes,0,3.3766666666666665
Yes,3,Month-to-month,Fiber optic,Yes,79.65,Bank transfer (automatic),Yes,0,2.6550000000000002
No,1,Month-to-month,No,No internet service,19.85,Mailed check,No,0,0.6616666666666667
No,28,One year,DSL,No,39.1,Electronic check,Yes,1,1.3033333333333335
No,7,Month-to-month,Fiber optic,No,69.55,Electronic check,Yes,0,2.3183333333333334
No,72,Two year,DSL,Yes,82.3,Bank transfer (automatic),Yes,0,2.743333333333333
No,7,One year,No,No internet service,20.05,Mailed check,No,0,0.6683333333333333
No,65,Two year,DSL,Yes,79.4,Bank transfer (automatic),Yes,0,2.646666666666667
No,56,Two year,DSL,Yes,72.6,Credit card (automatic),Yes,1,2.42
No,15,Month-to-month,Fiber optic,Yes,103.45,Electronic check,Yes,0,3.4483333333333333
No,56,Two year,No,No internet service,19.55,Bank transfer (automatic),Yes,0,0.6516666666666667
No,9,Month-to-month,Fiber optic,No,81.15,Electronic check,Yes,0,2.705
No,16,Month-to-month,Fiber optic,No,75.4,Electronic check,Yes,0,2.5133333333333336
No,69,One year,No,No internet service,20.55,Credit card (automatic),Yes,0,0.685
No,68,Two year,Fiber optic,Yes,114.9,Bank transfer (automatic),No,0,3.83
No,50,Two year,DSL,No,75.15,Bank transfer (automatic),Yes,1,2.5050000000000003
Yes,53,Month-to-month,Fiber optic,No,93.9,Electronic check,No,0,3.1300000000000003
No,10,Month-to-month,DSL,Yes,35.75,Electronic check,No,0,1.1916666666666667
No,26,Month-to-month,DSL,No,29.8,Mailed check,Yes,0,0.9933333333333334
No,16,One year,No,No internet service,19.35,Credit card (automatic),No,0,0.645
No,70,Two year,DSL,Yes,49.85,Bank transfer (automatic),Yes,0,1.6616666666666666
No,72,Two year,No,No internet service,25.4,Mailed check,No,0,0.8466666666666666
Yes,12,Month-to-month,Fiber optic,Yes,98.9,Bank transfer (automatic),Yes,0,3.296666666666667
No,17,Month-to-month,DSL,No,50.3,Mailed check,Yes,0,1.6766666666666665
Yes,1,Month-to-month,DSL,No,50.75,Electronic check,Yes,0,1.6916666666666667
No,10,One year,No,No internet service,19.8,Mailed check,Yes,0,0.66
No,7,Month-to-month,DSL,No,54.85,Mailed check,No,0,1.8283333333333334
Yes,68,One year,DSL,Yes,75.8,Bank transfer (automatic),Yes,0,2.5266666666666664
No,13,One year,No,No internet service,20.0,Mailed check,No,0,0.6666666666666666
No,70,One year,Fiber optic,Yes,105.55,Bank transfer (automatic),Yes,1,3.518333333333333
Yes,7,Month-to-month,DSL,Yes,34.5,Electronic check,Yes,0,1.15
No,5,Month-to-month,DSL,No,55.8,Credit card (automatic),No,0,1.8599999999999999
No,10,Month-to-month,DSL,No,55.55,Mailed check,Yes,0,1.8516666666666666
Yes,19,Month-to-month,Fiber optic,No,90.6,Electronic check,Yes,1,3.02
No,39,One year,DSL,Yes,59.3,Electronic check,No,0,1.9766666666666666
No,20,Month-to-month,Fiber optic,Yes,108.2,Bank transfer (automatic),Yes,0,3.606666666666667
No,20,One year,Fiber optic,Yes,94.3,Credit card (automatic),No,1,3.143333333333333
No,72,Two year,DSL,Yes,64.95,Credit card (automatic),Yes,1,2.165
No,62,Two year,No,No internet service,25.8,Credit card (automatic),Yes,0,0.86
No,24,Two year,No,No internet service,19.75,Mailed check,No,0,0.6583333333333333
No,21,Month-to-month,DSL,No,54.6,Bank transfer (automatic),No,0,1.82
Yes,2,Month-to-month,Fiber optic,No,70.65,Electronic check,Yes,1,2.355
No,48,One year,DSL,Yes,69.7,Bank transfer (automatic),No,0,2.3233333333333333
No,7,Month-to-month,Fiber optic,No,74.35,Mailed check,No,0,2.478333333333333
Yes,1,Month-to-month,DSL,No,54.35,Electronic check,No,0,1.8116666666666668
No,53,One year,Fiber optic,Yes,108.95,Bank transfer (automatic),Yes,0,3.631666666666667
Yes,1,Month-to-month,DSL,No,55.0,Credit card (automatic),Yes,0,1.8333333333333333
No,27,Month-to-month,DSL,No,49.85,Mailed check,No,0,1.6616666666666666
No,56,One year,Fiber optic,No,88.9,Bank transfer (automatic),No,0,2.9633333333333334
Yes,67,Two year,DSL,No,79.7,Electronic check,Yes,0,2.6566666666666667
No,17,One year,No,No internet service,20.05,Credit card (automatic),No,0,0.6683333333333333
No,18,Month-to-month,Fiber optic,No,75.6,Bank transfer (automatic),Yes,0,2.52
No,37,Month-to-month,DSL,No,36.65,Electronic check,No,1,1.2216666666666667
Yes,41,Month-to-month,Fiber optic,Yes,114.5,Bank transfer (automatic),Yes,0,3.816666666666667
No,48,Two year,No,No internet service,20.15,Credit card (automatic),No,0,0.6716666666666666
Yes,1,Month-to-month,DSL,No,44.4,Electronic check,Yes,0,1.48
No,8,Month-to-month,No,No internet service,19.55,Bank transfer (automatic),Yes,0,0.6516666666666667
No,50,Two year,Fiber optic,Yes,100.2,Mailed check,Yes,0,3.3400000000000003
No,1,Month-to-month,DSL,No,24.9,Mailed check,Yes,0,0.83
No,0,Two year,No,No internet service,25.75,Mailed check,No,0,0.8583333333333333
Yes,6,Month-to-month,Fiber optic,No,85.15,Bank transfer (automatic),Yes,1,2.8383333333333334
No,56,One year,DSL,Yes,75.75,Bank transfer (automatic),Yes,0,2.525
Yes,14,Month-to-month,Fiber optic,No,90.9,Bank transfer (automatic),Yes,0,3.0300000000000002
No,1,Month-to-month,DSL,No,44.75,Electronic check,Yes,0,1.4916666666666667
No,34,One year,Fiber optic,Yes,116.25,Credit card (automatic),No,0,3.875
No,72,Two year,Fiber optic,Yes,114.05,Credit card (automatic),Yes,0,3.8016666666666667
No,32,One year,Fiber optic,No,90.8,Electronic check,Yes,0,3.0266666666666664
No,17,One year,No,No internet service,20.5,Mailed check,Yes,0,0.6833333333333333
No,68,Two year,Fiber optic,No,105.25,Bank transfer (automatic),Yes,0,3.5083333333333333
No,47,Two year,DSL,Yes,65.0,Mailed check,Yes,0,2.1666666666666665
Yes,16,Month-to-month,Fiber optic,Yes,94.45,Electronic check,Yes,1,3.1483333333333334
No,44,Month-to-month,DSL,Yes,54.9,Bank transfer (automatic),Yes,0,1.8299999999999998
No,72,Two year,Fiber optic,No,105.5,Electronic check,Yes,0,3.5166666666666666
Yes,3,Month-to-month,No,No internet service,20.55,Credit card (automatic),Yes,0,0.685
No,22,Month-to-month,Fiber optic,Yes,94.95,Bank transfer (automatic),Yes,0,3.165
Yes,23,Month-to-month,Fiber optic,Yes,104.05,Mailed check,Yes,0,3.4683333333333333
No,70,Two year,Fiber optic,Yes,114.75,Credit card (automatic),No,0,3.825
No,3,One year,No,No internet service,20.25,Mailed check,No,0,0.675
No,44,One year,Fiber optic,No,106.05,Electronic check,Yes,0,3.5349999999999997
No,5,Month-to-month,Fiber optic,No,85.55,Electronic check,Yes,1,2.8516666666666666
No,4,Month-to-month,No,No internet service,19.85,Electronic check,Yes,0,0.6616666666666667
No,4,Month-to-month,No,No internet service,20.15,Mailed check,No,0,0.6716666666666666
Yes,3,Month-to-month,DSL,Yes,63.6,Electronic check,Yes,0,2.12
No,54,Month-to-month,Fiber optic,No,89.8,Mailed check,No,0,2.993333333333333
No,14,One year,No,No internet service,24.8,Credit card (automatic),Yes,0,0.8266666666666667
Yes,25,One year,DSL,Yes,74.3,Mailed check,No,0,2.4766666666666666
Yes,27,Month-to-month,Fiber optic,No,78.05,Electronic check,Yes,1,2.6016666666666666
Yes,1,Month-to-month,Fiber optic,No,74.5,Electronic check,Yes,0,2.4833333333333334
No,12,One year,DSL,Yes,79.2,Electronic check,Yes,1,2.64
No,13,Month-to-month,DSL,Yes,61.8,Bank transfer (automatic),No,0,2.06
No,69,Two year,Fiber optic,Yes,99.35,Electronic check,Yes,0,3.3116666666666665
No,35,Month-to-month,DSL,No,50.15,Mailed check,No,0,1.6716666666666666
No,64,One year,Fiber optic,No,90.25,Credit card (automatic),No,0,3.0083333333333333
Yes,21,Month-to-month,Fiber optic,No,104.4,Bank transfer (automatic),Yes,0,3.48
Yes,2,Month-to-month,Fiber optic,No,93.85,Electronic check,Yes,1,3.128333333333333
No,20,One year,No,No internet service,19.35,Credit card (automatic),Yes,0,0.645
No,26,Month-to-month,DSL,Yes,49.15,Bank transfer (automatic),No,0,1.6383333333333332
Yes,3,Month-to-month,DSL,Yes,36.85,Mailed check,Yes,0,1.2283333333333333
No,4,Month-to-month,No,No internet service,25.45,Mailed check,Yes,0,0.8483333333333333
No,7,Month-to-month,DSL,Yes,75.7,Electronic check,Yes,0,2.5233333333333334
Yes,2,Month-to-month,DSL,No,44.65,Mailed check,No,0,1.4883333333333333
Yes,46,Month-to-month,Fiber optic,No,101.0,Electronic check,Yes,1,3.3666666666666667
Yes,5,Month-to-month,Fiber optic,Yes,85.75,Electronic check,Yes,0,2.8583333333333334
No,10,Month-to-month,DSL,Yes,36.25,Electronic check,No,0,1.2083333333333333
Yes,13,Month-to-month,Fiber optic,No,74.3,Electronic check,Yes,1,2.4766666666666666
No,71,Two year,No,No internet service,24.75,Bank transfer (automatic),No,0,0.825
No,42,One year,DSL,No,60.15,Bank transfer (automatic),Yes,0,2.005
No,9,Month-to-month,Fiber optic,No,99.3,Credit card (automatic),Yes,0,3.31
Yes,61,Month-to-month,Fiber optic,No,105.55,Electronic check,Yes,0,3.518333333333333
No,2,Month-to-month,Fiber optic,No,71.3,Credit card (automatic),Yes,0,2.3766666666666665
No,60,Month-to-month,Fiber optic,No,74.35,Bank transfer (automatic),No,0,2.478333333333333
No,39,Month-to-month,DSL,No,50.65,Credit card (automatic),Yes,0,1.6883333333333332
No,15,One year,No,No internet service,19.5,Mailed check,Yes,0,0.65
No,7,Month-to-month,DSL,No,43.9,Mailed check,No,0,1.4633333333333334
No,15,Two year,No,No internet service,19.6,Mailed check,No,0,0.6533333333333334
No,61,One year,Fiber optic,Yes,101.15,Bank transfer (automatic),No,0,3.371666666666667
No,19,Month-to-month,DSL,No,49.6,Bank transfer (automatic),Yes,0,1.6533333333333333
No,59,Two year,No,No internet service,25.0,Mailed check,No,0,0.8333333333333334
No,30,Month-to-month,DSL,No,44.5,Electronic check,Yes,0,1.4833333333333334
No,62,Month-to-month,Fiber optic,No,89.8,Bank transfer (automatic),Yes,1,2.993333333333333
Yes,2,One year,No,No internet service,19.85,Mailed check,No,0,0.6616666666666667
No,18,Month-to-month,Fiber optic,No,77.8,Electronic check,No,0,2.5933333333333333
No,20,Month-to-month,DSL,No,60.0,Electronic check,Yes,1,2.0
No,5,Month-to-month,DSL,Yes,48.65,Bank transfer (automatic),Yes,0,1.6216666666666666
Yes,42,Month-to-month,Fiber optic,Yes,84.3,Electronic check,Yes,0,2.81
No,0,Two year,DSL,Yes,52.55,Bank transfer (automatic),Yes,0,1.7516666666666665
No,52,Month-to-month,Fiber optic,No,98.15,Bank transfer (automatic),No,0,3.271666666666667
No,45,Two year,No,No internet service,19.2,Electronic check,No,0,0.64
No,69,One year,Fiber optic,Yes,110.55,Mailed check,Yes,1,3.685
No,36,One year,Fiber optic,No,104.8,Bank transfer (automatic),Yes,0,3.493333333333333
No,8,Month-to-month,Fiber optic,No,74.05,Bank transfer (automatic),Yes,1,2.4683333333333333
No,2,Month-to-month,Fiber optic,No,69.7,Electronic check,Yes,0,2.3233333333333333
No,5,Month-to-month,DSL,Yes,56.15,Electronic check,No,0,1.8716666666666666
Yes,3,Month-to-month,DSL,No,55.3,Electronic check,Yes,0,1.8433333333333333
Yes,52,Month-to-month,Fiber optic,No,105.05,Electronic check,Yes,0,3.5016666666666665
No,13,Month-to-month,No,No internet service,20.4,Electronic check,Yes,0,0.6799999999999999
No,38,One year,No,No internet service,19.6,Credit card (automatic),No,0,0.6533333333333334
No,61,One year,Fiber optic,No,103.95,Electronic check,Yes,0,3.4650000000000003
Yes,16,Month-to-month,No,No internet service,20.25,Bank transfer (automatic),No,0,0.675
Yes,35,Month-to-month,DSL,Yes,72.25,Electronic check,No,0,2.408333333333333
No,18,Month-to-month,DSL,No,57.65,Mailed check,No,0,1.9216666666666666
No,23,Two year,DSL,Yes,59.7,Mailed check,No,0,1.99
Yes,1,Month-to-month,Fiber optic,No,69.7,Bank transfer (automatic),No,0,2.3233333333333333
No,46,One year,DSL,Yes,69.1,Credit card (automatic),Yes,1,2.3033333333333332
No,26,Month-to-month,DSL,Yes,35.75,Electronic check,No,0,1.1916666666666667
Yes,11,Month-to-month,Fiber optic,No,74.95,Electronic check,No,0,2.4983333333333335
No,35,Month-to-month,DSL,No,59.45,Credit card (automatic),Yes,0,1.9816666666666667
Yes,6,Month-to-month,Fiber optic,No,74.4,Electronic check,No,1,2.48
No,31,One year,DSL,Yes,75.5,Credit card (automatic),Yes,0,2.5166666666666666
Yes,1,Month-to-month,Fiber optic,No,69.8,Electronic check,Yes,0,2.3266666666666667
Yes,38,Month-to-month,DSL,No,57.15,Credit card (automatic),Yes,1,1.905
Yes,2,Month-to-month,Fiber optic,No,70.0,Bank transfer (automatic),No,0,2.3333333333333335
No,71,Two year,Fiber optic,No,80.7,Credit card (automatic),Yes,1,2.69
Yes,16,Month-to-month,Fiber optic,No,84.75,Electronic check,Yes,1,2.825
No,42,One year,No,No internet service,20.25,Mailed check,No,0,0.675
No,56,Two year,No,No internet service,25.95,Bank transfer (automatic),Yes,0,0.865
No,18,Month-to-month,Fiber optic,Yes,88.85,Electronic check,Yes,0,2.9616666666666664
No,13,Month-to-month,DSL,No,54.8,Electronic check,Yes,1,1.8266666666666667
No,42,One year,DSL,Yes,80.45,Credit card (automatic),No,0,2.6816666666666666
Yes,59,Month-to-month,Fiber optic,No,101.1,Electronic check,No,0,3.3699999999999997
No,26,Month-to-month,DSL,No,44.65,Bank transfer (automatic),Yes,0,1.4883333333333333
No,54,One year,Fiber optic,Yes,105.85,Electronic check,Yes,0,3.5283333333333333
No,40,Two year,No,No internet service,24.6,Mailed check,Yes,0,0.8200000000000001
No,8,Two year,DSL,Yes,76.15,Credit card (automatic),Yes,0,2.5383333333333336
No,25,Month-to-month,Fiber optic,No,88.4,Bank transfer (automatic),No,1,2.9466666666666668
Yes,2,Month-to-month,Fiber optic,No,80.2,Electronic check,Yes,0,2.6733333333333333
No,42,One year,No,No internet service,19.05,Electronic check,Yes,0,0.635
No,51,One year,Fiber optic,Yes,95.15,Mailed check,Yes,0,3.171666666666667
No,58,Two year,No,No internet service,25.15,Credit card (automatic),No,0,0.8383333333333333
No,12,Month-to-month,Fiber optic,No,85.05,Credit card (automatic),Yes,0,2.835
No,9,One year,No,No internet service,20.25,Mailed check,No,0,0.675
No,2,Month-to-month,DSL,No,45.55,Electronic check,No,0,1.5183333333333333
No,46,One year,No,No internet service,24.95,Mailed check,No,0,0.8316666666666667
Yes,7,Month-to-month,No,No internet service,19.25,Electronic check,No,0,0.6416666666666667
No,8,One year,DSL,No,43.45,Mailed check,Yes,0,1.4483333333333335
No,16,Month-to-month,Fiber optic,No,74.75,Credit card (automatic),Yes,0,2.4916666666666667
No,55,One year,DSL,No,59.45,Credit card (automatic),No,0,1.9816666666666667
Yes,10,Month-to-month,Fiber optic,No,80.05,Bank transfer (automatic),Yes,0,2.6683333333333334
Yes,16,Month-to-month,Fiber optic,No,72.65,Electronic check,No,0,2.421666666666667
Yes,5,Month-to-month,Fiber optic,No,85.2,Electronic check,Yes,0,2.8400000000000003
No,52,One year,DSL,Yes,57.95,Credit card (automatic),No,0,1.9316666666666669
Yes,1,Month-to-month,Fiber optic,No,69.65,Electronic check,Yes,0,2.3216666666666668
Yes,70,Month-to-month,Fiber optic,No,102.95,Electronic check,Yes,1,3.4316666666666666
No,62,Month-to-month,Fiber optic,No,101.35,Electronic check,Yes,0,3.378333333333333
Yes,49,Month-to-month,Fiber optic,No,90.05,Credit card (automatic),No,1,3.0016666666666665
No,4,Month-to-month,No,No internet service,19.75,Mailed check,No,0,0.6583333333333333
Yes,17,Month-to-month,Fiber optic,Yes,91.85,Electronic check,No,0,3.0616666666666665
No,14,Month-to-month,Fiber optic,No,82.65,Electronic check,Yes,0,2.7550000000000003
No,59,One year,DSL,Yes,68.7,Bank transfer (automatic),No,0,2.29
No,47,One year,DSL,Yes,58.9,Mailed check,Yes,0,1.9633333333333334
No,71,Two year,No,No internet service,24.65,Bank transfer (automatic),Yes,0,0.8216666666666667
Yes,47,Month-to-month,Fiber optic,Yes,107.35,Bank transfer (automatic),Yes,0,3.578333333333333
No,5,Month-to-month,Fiber optic,No,96.55,Electronic check,No,0,3.2183333333333333
Yes,11,Month-to-month,DSL,No,44.05,Electronic check,Yes,0,1.4683333333333333
No,41,One year,Fiber optic,Yes,109.1,Bank transfer (automatic),Yes,0,3.6366666666666663
No,52,Two year,DSL,No,63.25,Credit card (automatic),Yes,0,2.1083333333333334
No,9,Month-to-month,No,No internet service,20.4,Mailed check,No,0,0.6799999999999999
No,9,Month-to-month,DSL,No,43.75,Electronic check,Yes,0,1.4583333333333333
Yes,10,Month-to-month,Fiber optic,No,80.25,Bank transfer (automatic),Yes,0,2.675
No,12,Two year,No,No internet service,19.35,Bank transfer (automatic),No,0,0.645
Yes,22,One year,DSL,Yes,55.15,Credit card (automatic),Yes,0,1.8383333333333334
No,52,One year,DSL,Yes,68.75,Electronic check,Yes,0,2.2916666666666665
Yes,43,Month-to-month,DSL,No,56.15,Electronic check,No,0,1.8716666666666666
No,13,Month-to-month,DSL,No,49.15,Electronic check,No,0,1.6383333333333332
Yes,3,Month-to-month,Fiber optic,No,75.8,Electronic check,Yes,0,2.5266666666666664
No,16,Month-to-month,Fiber optic,Yes,91.55,Electronic check,Yes,1,3.0516666666666667
No,45,One year,No,No internet service,24.7,Credit card (automatic),No,1,0.8233333333333334
Yes,4,Month-to-month,Fiber optic,No,73.75,Electronic check,Yes,0,2.4583333333333335
Yes,3,Month-to-month,Fiber optic,No,79.1,Electronic check,Yes,0,2.6366666666666663
Yes,6,Month-to-month,Fiber optic,No,105.3,Electronic check,Yes,0,3.51
Yes,1,Month-to-month,No,No internet service,19.6,Mailed check,Yes,0,0.6533333333333334
No,70,Two year,No,No internet service,24.25,Bank transfer (automatic),No,0,0.8083333333333333
Yes,3,Month-to-month,DSL,No,29.7,Credit card (automatic),No,0,0.99
Yes,56,One year,No,No internet service,24.9,Electronic check,No,0,0.83
Yes,24,Month-to-month,Fiber optic,No,101.25,Electronic check,Yes,1,3.375
Yes,25,Month-to-month,Fiber optic,No,98.5,Electronic check,Yes,1,3.283333333333333
No,53,One year,DSL,Yes,53.6,Electronic check,Yes,0,1.7866666666666666
Yes,1,Month-to-month,Fiber optic,No,69.85,Electronic check,Yes,0,2.328333333333333
Yes,25,One year,Fiber optic,No,90.4,Electronic check,Yes,0,3.0133333333333336
No,8,Month-to-month,DSL,No,44.65,Bank transfer (automatic),No,0,1.4883333333333333
No,27,Two year,No,No internet service,19.9,Mailed check,No,0,0.6633333333333333
No,60,One year,DSL,No,50.05,Electronic check,No,0,1.6683333333333332
No,20,Month-to-month,Fiber optic,No,81.45,Electronic check,Yes,1,2.7150000000000003
Yes,56,One year,Fiber optic,No,104.75,Bank transfer (automatic),Yes,1,3.4916666666666667
Yes,1,Month-to-month,Fiber optic,No,81.1,Electronic check,Yes,0,2.703333333333333
No,42,Two year,DSL,Yes,66.5,Credit card (automatic),No,0,2.216666666666667
No,16,One year,No,No internet service,20.1,Bank transfer (automatic),No,0,0.67
No,65,Two year,Fiber optic,Yes,110.8,Credit card (automatic),Yes,0,3.6933333333333334
No,20,One year,Fiber optic,No,91.0,Bank transfer (automatic),Yes,1,3.033333333333333
No,33,Two year,Fiber optic,Yes,88.95,Electronic check,Yes,0,2.9650000000000003
No,22,Month-to-month,No,No internet service,20.45,Bank transfer (automatic),Yes,0,0.6816666666666666
Yes,8,Month-to-month,DSL,No,30.45,Electronic check,Yes,0,1.015
No,44,Two year,No,No internet service,20.4,Credit card (automatic),No,0,0.6799999999999999
No,72,Two year,No,No internet service,26.25,Bank transfer (automatic),Yes,0,0.875
Yes,7,Month-to-month,Fiber optic,No,93.85,Electronic check,Yes,0,3.128333333333333
No,51,One year,DSL,Yes,78.65,Credit card (automatic),Yes,0,2.621666666666667
No,69,Two year,Fiber optic,Yes,110.25,Credit card (automatic),No,1,3.675
Yes,57,Month-to-month,DSL,No,39.3,Electronic check,Yes,0,1.3099999999999998
Yes,35,One year,Fiber optic,No,85.15,Electronic check,Yes,0,2.8383333333333334
Yes,2,Month-to-month,Fiber optic,No,70.4,Electronic check,No,0,2.3466666666666667
Yes,15,Month-to-month,Fiber optic,No,79.4,Electronic check,Yes,1,2.646666666666667
No,22,One year,No,No internet service,19.95,Mailed check,No,0,0.6649999999999999
No,53,One year,DSL,Yes,62.85,Credit card (automatic),No,0,2.095
No,9,Month-to-month,Fiber optic,No,88.4,Mailed check,Yes,0,2.9466666666666668
No,1,Month-to-month,No,No internet service,20.35,Mailed check,Yes,0,0.6783333333333333
No,32,Two year,No,No internet service,18.95,Mailed check,No,0,0.6316666666666666
