Churn,customer_tenure,account_Contract,internet_InternetService,internet_TechSupport,account_Charges_Monthly,account_PaymentMethod,account_PaperlessBilling,customer_SeniorCitizen
No,22,Two year,No,No internet service,25.25,Credit card (automatic),No,0
Yes,32,Month-to-month,Fiber optic,No,69.75,Bank transfer (automatic),Yes,0
No,39,Two year,No,No internet service,20.45,Bank transfer (automatic),Yes,0
No,57,Two year,Fiber optic,Yes,101.3,Credit card (automatic),No,1
No,8,Month-to-month,Fiber optic,No,87.1,Electronic check,Yes,1
No,63,One year,DSL,Yes,71.5,Electronic check,No,0
No,61,Two year,DSL,Yes,61.45,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,No,No internet service,19.8,Mailed check,No,0
No,50,One year,No,No internet service,19.35,Mailed check,Yes,0
Yes,11,Month-to-month,No,No internet service,19.95,Mailed check,No,1
No,35,Two year,No,No internet service,25.45,Bank transfer (automatic),No,0
Yes,1,Month-to-month,No,No internet service,20.15,Mailed check,Yes,0
No,72,Two year,DSL,Yes,80.2,Bank transfer (automatic),No,0
Yes,29,Month-to-month,Fiber optic,Yes,98.65,Electronic check,No,1
No,29,One year,DSL,No,70.9,Credit card (automatic),No,0
Yes,5,Month-to-month,No,No internet service,19.35,Mailed check,No,0
Yes,11,One year,DSL,No,41.6,Electronic check,Yes,0
No,54,One year,DSL,Yes,70.7,Electronic check,Yes,0
No,49,One year,Fiber optic,No,89.85,Bank transfer (automatic),Yes,1
No,72,Two year,Fiber optic,Yes,109.7,Credit card (automatic),No,1
Yes,9,Month-to-month,Fiber optic,No,79.35,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,94.6,Electronic check,Yes,0
Yes,31,Month-to-month,Fiber optic,No,86.55,Credit card (automatic),Yes,0
No,1,Month-to-month,Fiber optic,No,84.6,Electronic check,Yes,0
Yes,56,One year,Fiber optic,No,104.55,Bank transfer (automatic),Yes,1
No,70,Two year,DSL,No,68.95,Credit card (automatic),No,0
No,55,Month-to-month,Fiber optic,Yes,90.45,Electronic check,No,1
Yes,3,Month-to-month,DSL,No,53.4,Credit card (automatic),No,0
Yes,5,Month-to-month,Fiber optic,No,84.5,Electronic check,Yes,0
Yes,3,Month-to-month,Fiber optic,No,69.65,Electronic check,No,0
No,26,Two year,DSL,No,73.5,Credit card (automatic),Yes,0
No,25,Month-to-month,DSL,Yes,65.8,Bank transfer (automatic),Yes,0
Yes,15,Month-to-month,DSL,Yes,58.6,Credit card (automatic),Yes,0
No,31,Month-to-month,DSL,Yes,49.2,Mailed check,Yes,0
No,2,Month-to-month,Fiber optic,No,91.45,Electronic check,Yes,0
Yes,1,Month-to-month,DSL,No,53.55,Mailed check,Yes,0
No,18,Month-to-month,DSL,No,56.25,Mailed check,No,0
No,2,Month-to-month,Fiber optic,No,95.5,Credit card (automatic),Yes,1
No,13,Month-to-month,DSL,No,71.95,Electronic check,Yes,0
No,40,Two year,No,No internet service,19.1,Mailed check,No,0
No,17,One year,No,No internet service,20.65,Mailed check,No,1
No,10,Month-to-month,No,No internet service,19.9,Mailed check,Yes,0
No,61,One year,Fiber optic,No,99.9,Electronic check,Yes,0
No,27,Month-to-month,DSL,Yes,59.45,Electronic check,No,0
No,60,Two year,DSL,Yes,37.7,Bank transfer (automatic),No,0
No,64,One year,DSL,No,66.15,Credit card (automatic),Yes,0
No,28,Month-to-month,DSL,No,59.55,Bank transfer (automatic),Yes,0
Yes,11,Month-to-month,No,No internet service,19.25,Mailed check,Yes,0
No,34,Month-to-month,Fiber optic,No,97.7,Bank transfer (automatic),Yes,0
No,36,Month-to-month,Fiber optic,No,74.9,Bank transfer (automatic),Yes,1
No,35,Month-to-month,DSL,No,49.2,Electronic check,No,0
No,22,Two year,No,No internet service,26.25,Mailed check,No,0
Yes,4,Month-to-month,Fiber optic,No,88.95,Electronic check,Yes,0
Yes,4,Month-to-month,Fiber optic,No,85.95,Electronic check,Yes,0
No,43,One year,No,No internet service,20.0,Mailed check,No,0
No,70,Two year,No,No internet service,20.35,Credit card (automatic),No,0
No,15,One year,DSL,Yes,65.6,Credit card (automatic),No,0
No,3,Month-to-month,DSL,Yes,64.4,Credit card (automatic),Yes,0
Yes,7,Month-to-month,DSL,No,48.7,Electronic check,No,0
Yes,35,Month-to-month,Fiber optic,No,101.4,Electronic check,Yes,1
Yes,2,Month-to-month,DSL,No,44.6,Credit card (automatic),Yes,0
No,29,One year,No,No internet service,19.85,Mailed check,No,0
No,72,Two year,DSL,Yes,63.7,Bank transfer (automatic),Yes,0
Yes,27,Month-to-month,Fiber optic,No,94.55,Mailed check,Yes,0
No,71,Two year,DSL,Yes,84.4,Credit card (automatic),Yes,0
No,30,One year,DSL,Yes,74.65,Credit card (automatic),No,0
No,19,Month-to-month,DSL,No,34.3,Credit card (automatic),Yes,1
No,56,Two year,No,No internet service,24.15,Bank transfer (automatic),No,0
No,36,One year,No,No internet service,20.85,Bank transfer (automatic),No,0
No,57,Month-to-month,DSL,Yes,65.2,Bank transfer (automatic),No,0
No,3,Month-to-month,Fiber optic,No,69.6,Mailed check,Yes,0
No,52,Month-to-month,Fiber optic,Yes,102.7,Credit card (automatic),Yes,0
No,2,Month-to-month,No,No internet service,20.0,Mailed check,Yes,0
No,17,Month-to-month,DSL,No,25.1,Credit card (automatic),No,0
Yes,1,Month-to-month,Fiber optic,No,75.35,Electronic check,Yes,1
No,68,Month-to-month,Fiber optic,No,95.9,Electronic check,Yes,1
No,57,Two year,No,No internet service,20.75,Mailed check,No,0
No,72,Two year,DSL,No,55.3,Bank transfer (automatic),No,0
No,26,Month-to-month,Fiber optic,Yes,84.3,Mailed check,Yes,0
No,14,Two year,DSL,Yes,76.1,Bank transfer (automatic),No,0
No,30,Month-to-month,Fiber optic,No,100.45,Electronic check,No,0
No,66,One year,DSL,Yes,29.45,Credit card (automatic),No,0
No,49,Month-to-month,Fiber optic,No,93.85,Bank transfer (automatic),Yes,0
No,15,One year,No,No internet service,20.35,Credit card (automatic),No,0
No,71,Two year,DSL,Yes,84.2,Credit card (automatic),No,0
No,39,Two year,No,No internet service,20.7,Credit card (automatic),No,0
No,67,Two year,DSL,Yes,54.2,Credit card (automatic),No,0
No,31,Month-to-month,DSL,Yes,54.35,Mailed check,No,0
Yes,50,Two year,Fiber optic,Yes,109.65,Electronic check,Yes,0
No,13,Two year,No,No internet service,19.95,Mailed check,No,0
No,47,One year,Fiber optic,No,96.1,Electronic check,Yes,0
Yes,10,Month-to-month,DSL,No,29.5,Mailed check,No,0
No,23,Month-to-month,Fiber optic,No,84.25,Electronic check,No,0
No,57,One year,No,No internet service,19.4,Mailed check,No,0
No,56,Month-to-month,Fiber optic,No,85.6,Bank transfer (automatic),Yes,0
No,10,Month-to-month,No,No internet service,24.5,Mailed check,Yes,0
No,30,Month-to-month,DSL,Yes,66.3,Bank transfer (automatic),No,0
No,43,Month-to-month,Fiber optic,No,84.85,Electronic check,Yes,1
Yes,54,One year,DSL,Yes,82.45,Bank transfer (automatic),No,1
No,9,Month-to-month,Fiber optic,Yes,75.85,Electronic check,Yes,0
No,27,Month-to-month,Fiber optic,No,81.3,Electronic check,Yes,0
No,20,Month-to-month,No,No internet service,18.9,Credit card (automatic),Yes,0
Yes,7,Month-to-month,Fiber optic,No,69.35,Electronic check,Yes,0
Yes,6,Month-to-month,DSL,No,44.75,Electronic check,No,0
No,51,One year,Fiber optic,Yes,110.05,Credit card (automatic),No,0
Yes,2,Month-to-month,Fiber optic,No,70.7,Credit card (automatic),No,0
Yes,1,Month-to-month,No,No internet service,20.05,Mailed check,No,1
No,1,Month-to-month,Fiber optic,No,70.7,Mailed check,Yes,0
No,38,One year,DSL,No,84.1,Bank transfer (automatic),No,0
No,11,Month-to-month,Fiber optic,No,75.9,Mailed check,Yes,0
No,56,One year,Fiber optic,No,106.8,Electronic check,Yes,0
No,72,Two year,Fiber optic,Yes,113.65,Bank transfer (automatic),Yes,0
No,13,One year,No,No internet service,20.2,Mailed check,No,0
No,1,Month-to-month,Fiber optic,No,75.55,Electronic check,No,0
No,7,Month-to-month,Fiber optic,No,69.2,Bank transfer (automatic),Yes,0
No,51,Two year,No,No internet service,25.5,Mailed check,No,0
No,29,Month-to-month,DSL,No,45.0,Electronic check,Yes,1
Yes,1,Month-to-month,DSL,No,50.15,Mailed check,Yes,1
Yes,1,Month-to-month,No,No internet service,20.6,Mailed check,No,0
No,26,One year,DSL,Yes,75.0,Bank transfer (automatic),No,0
Yes,3,Month-to-month,Fiber optic,No,105.35,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,75.35,Electronic check,Yes,0
No,67,Two year,Fiber optic,Yes,106.7,Credit card (automatic),No,0
No,65,Month-to-month,Fiber optic,No,105.05,Electronic check,Yes,0
No,43,One year,Fiber optic,Yes,106.0,Credit card (automatic),Yes,0
Yes,39,Month-to-month,DSL,No,50.75,Electronic check,Yes,0
No,9,Two year,No,No internet service,20.35,Mailed check,No,0
No,30,Month-to-month,Fiber optic,Yes,83.55,Bank transfer (automatic),Yes,0
No,32,Month-to-month,DSL,Yes,61.4,Bank transfer (automatic),No,0
No,25,One year,DSL,No,53.65,Mailed check,No,0
No,13,Two year,No,No internet service,19.75,Mailed check,No,0
No,3,Month-to-month,No,No internet service,19.9,Mailed check,Yes,0
No,2,Month-to-month,No,No internet service,20.25,Mailed check,No,0
No,67,Two year,DSL,No,54.2,Bank transfer (automatic),Yes,0
No,66,One year,Fiber optic,Yes,108.45,Electronic check,Yes,1
No,4,Month-to-month,DSL,No,50.3,Electronic check,No,0
No,50,One year,DSL,Yes,80.05,Bank transfer (automatic),Yes,0
Yes,60,Month-to-month,DSL,No,50.8,Electronic check,Yes,0
No,64,One year,Fiber optic,Yes,104.65,Credit card (automatic),Yes,0
No,59,Two year,No,No internet service,24.45,Electronic check,No,0
No,51,Month-to-month,Fiber optic,No,83.4,Bank transfer (automatic),No,0
Yes,1,Month-to-month,DSL,No,45.3,Electronic check,Yes,0
No,10,One year,DSL,Yes,64.9,Mailed check,No,0
No,17,Month-to-month,DSL,Yes,55.35,Credit card (automatic),Yes,0
Yes,18,Month-to-month,DSL,No,39.05,Electronic check,Yes,0
No,1,Month-to-month,No,No internet service,20.65,Electronic check,No,0
Yes,58,Two year,Fiber optic,No,109.45,Bank transfer (automatic),Yes,0
No,59,Two year,Fiber optic,Yes,100.05,Mailed check,Yes,0
No,2,Month-to-month,Fiber optic,No,91.15,Electronic check,Yes,0
No,24,Month-to-month,DSL,Yes,56.35,Credit card (automatic),No,0
No,47,Two year,No,No internet service,19.65,Bank transfer (automatic),No,0
Yes,3,Month-to-month,Fiber optic,No,91.5,Credit card (automatic),Yes,0
No,55,Two year,DSL,Yes,56.8,Mailed check,No,0
Yes,43,Month-to-month,Fiber optic,Yes,110.75,Bank transfer (automatic),Yes,1
Yes,1,Month-to-month,DSL,No,45.95,Mailed check,No,0
Yes,11,Month-to-month,Fiber optic,No,73.5,Electronic check,Yes,0
No,60,Two year,DSL,No,53.6,Electronic check,No,0
No,72,Two year,DSL,Yes,67.2,Credit card (automatic),No,0
No,69,Two year,No,No internet service,25.6,Bank transfer (automatic),Yes,0
No,29,Month-to-month,Fiber optic,No,84.3,Electronic check,Yes,1
No,71,Two year,DSL,Yes,89.9,Bank transfer (automatic),No,0
No,48,Month-to-month,Fiber optic,Yes,105.1,Credit card (automatic),Yes,0
No,36,Month-to-month,Fiber optic,No,95.0,Bank transfer (automatic),Yes,0
No,2,Month-to-month,Fiber optic,No,70.1,Electronic check,No,1
No,50,One year,DSL,No,75.7,Bank transfer (automatic),No,0
No,3,Month-to-month,DSL,Yes,75.3,Electronic check,Yes,0
No,31,Two year,No,No internet service,20.45,Mailed check,No,0
No,63,One year,DSL,Yes,40.6,Bank transfer (automatic),Yes,0
No,54,Two year,DSL,Yes,46.0,Credit card (automatic),No,0
No,56,One year,DSL,No,65.2,Bank transfer (automatic),No,0
No,43,Two year,DSL,Yes,86.45,Credit card (automatic),No,0
No,25,Month-to-month,Fiber optic,Yes,105.5,Electronic check,Yes,0
Yes,25,Month-to-month,Fiber optic,No,105.95,Mailed check,No,1
No,62,Two year,DSL,No,72.0,Credit card (automatic),Yes,0
No,49,Month-to-month,Fiber optic,No,90.4,Credit card (automatic),Yes,0
No,1,Month-to-month,DSL,No,45.8,Mailed check,Yes,0
No,8,Month-to-month,DSL,No,29.35,Mailed check,No,0
Yes,1,Month-to-month,Fiber optic,No,69.8,Electronic check,Yes,0
No,72,Two year,Fiber optic,Yes,114.5,Mailed check,Yes,1
No,63,Two year,DSL,No,50.65,Bank transfer (automatic),Yes,0
No,54,Month-to-month,Fiber optic,No,89.4,Credit card (automatic),No,0
Yes,33,One year,Fiber optic,No,103.7,Mailed check,Yes,0
No,31,Month-to-month,DSL,Yes,71.05,Electronic check,Yes,0
Yes,10,Month-to-month,Fiber optic,No,98.55,Electronic check,No,0
No,59,One year,Fiber optic,No,109.15,Credit card (automatic),Yes,0
No,9,Month-to-month,Fiber optic,Yes,93.0,Bank transfer (automatic),No,0
Yes,10,Month-to-month,DSL,Yes,29.65,Electronic check,Yes,1
Yes,1,Month-to-month,No,No internet service,19.95,Electronic check,No,0
No,4,Month-to-month,No,No internet service,19.95,Mailed check,Yes,0
No,38,Month-to-month,Fiber optic,No,94.75,Electronic check,No,1
No,16,Month-to-month,Fiber optic,No,75.1,Bank transfer (automatic),No,0
No,67,Two year,No,No internet service,19.95,Bank transfer (automatic),No,0
No,20,Two year,No,No internet service,19.7,Mailed check,No,0
No,64,Two year,DSL,Yes,74.35,Mailed check,Yes,0
No,28,One year,Fiber optic,Yes,92.9,Bank transfer (automatic),No,0
No,71,One year,Fiber optic,Yes,95.15,Credit card (automatic),Yes,0
No,21,One year,Fiber optic,Yes,104.55,Mailed check,Yes,0
No,3,Month-to-month,Fiber optic,No,94.85,Electronic check,Yes,1
No,31,One year,Fiber optic,No,98.05,Bank transfer (automatic),No,0
No,37,Month-to-month,DSL,No,55.05,Mailed check,Yes,0
No,68,Two year,Fiber optic,No,110.2,Electronic check,Yes,0
No,34,Month-to-month,Fiber optic,No,85.35,Electronic check,No,0
Yes,9,Month-to-month,DSL,Yes,58.5,Mailed check,No,0
No,28,Month-to-month,DSL,No,49.9,Mailed check,No,0
No,3,Month-to-month,DSL,No,29.65,Mailed check,No,0
No,11,Two year,No,No internet service,20.9,Credit card (automatic),No,0
Yes,2,Month-to-month,Fiber optic,No,75.8,Electronic check,Yes,0
No,17,One year,DSL,No,44.6,Mailed check,No,0
No,69,Two year,Fiber optic,Yes,106.35,Credit card (automatic),Yes,0
No,37,Two year,Fiber optic,Yes,94.3,Mailed check,No,0
Yes,4,Month-to-month,DSL,No,25.2,Bank transfer (automatic),Yes,1
Yes,1,Month-to-month,Fiber optic,No,90.85,Credit card (automatic),Yes,0
No,72,One year,Fiber optic,Yes,108.5,Bank transfer (automatic),Yes,0
No,8,Month-to-month,Fiber optic,No,94.75,Electronic check,Yes,0
No,49,One year,DSL,Yes,35.8,Credit card (automatic),Yes,0
No,27,Two year,No,No internet service,19.85,Credit card (automatic),No,0
No,4,Month-to-month,DSL,Yes,65.55,Mailed check,No,0
No,72,Two year,Fiber optic,Yes,108.95,Credit card (automatic),Yes,0
No,2,Month-to-month,DSL,Yes,64.2,Mailed check,Yes,0
No,2,One year,No,No internet service,19.95,Mailed check,No,0
No,67,One year,Fiber optic,No,105.4,Electronic check,Yes,0
Yes,9,Month-to-month,DSL,Yes,66.25,Mailed check,No,0
Yes,4,Month-to-month,DSL,No,46.0,Mailed check,Yes,0
No,22,Month-to-month,Fiber optic,No,78.85,Mailed check,Yes,0
No,48,One year,Fiber optic,No,75.15,Electronic check,No,0
No,47,Two year,No,No internet service,20.55,Mailed check,Yes,0
No,66,Two year,DSL,No,66.9,Bank transfer (automatic),No,0
No,37,One year,No,No internet service,20.3,Bank transfer (automatic),No,0
Yes,1,Month-to-month,Fiber optic,No,95.1,Electronic check,Yes,1
Yes,22,Month-to-month,DSL,No,40.05,Mailed check,No,1
No,56,Two year,DSL,No,61.3,Credit card (automatic),Yes,0
No,72,Two year,Fiber optic,Yes,112.75,Credit card (automatic),Yes,0
No,10,Month-to-month,Fiber optic,Yes,95.1,Credit card (automatic),Yes,0
No,9,Month-to-month,DSL,Yes,69.5,Mailed check,Yes,0
No,35,Month-to-month,No,No internet service,19.25,Bank transfer (automatic),No,0
Yes,1,Month-to-month,Fiber optic,No,69.5,Bank transfer (automatic),Yes,1
No,54,Month-to-month,Fiber optic,No,74.0,Bank transfer (automatic),No,1
Yes,1,Month-to-month,Fiber optic,No,85.7,Electronic check,Yes,1
No,63,Two year,Fiber optic,No,104.75,Bank transfer (automatic),Yes,0
No,53,One year,Fiber optic,Yes,96.75,Mailed check,Yes,1
Yes,1,Month-to-month,Fiber optic,No,75.7,Electronic check,Yes,0
No,67,One year,DSL,Yes,60.05,Mailed check,No,0
No,71,Two year,DSL,Yes,83.3,Credit card (automatic),Yes,0
No,42,One year,Fiber optic,No,94.45,Credit card (automatic),Yes,0
No,12,Two year,No,No internet service,25.25,Credit card (automatic),No,0
No,57,One year,Fiber optic,No,90.65,Electronic check,Yes,1
No,35,One year,Fiber optic,Yes,89.7,Electronic check,Yes,0
No,33,One year,DSL,Yes,34.05,Credit card (automatic),No,0
No,62,One year,No,No internet service,24.8,Bank transfer (automatic),No,0
No,25,Month-to-month,Fiber optic,No,74.3,Bank transfer (automatic),No,0
No,26,Month-to-month,Fiber optic,Yes,85.9,Credit card (automatic),No,0
Yes,39,Month-to-month,DSL,No,30.1,Credit card (automatic),No,0
No,34,One year,DSL,No,64.35,Electronic check,No,0
No,49,One year,DSL,Yes,87.2,Mailed check,Yes,0
Yes,19,Month-to-month,DSL,No,39.65,Electronic check,Yes,0
No,17,Month-to-month,DSL,No,55.5,Credit card (automatic),Yes,0
No,53,Month-to-month,Fiber optic,Yes,80.6,Mailed check,Yes,0
No,1,Month-to-month,DSL,No,48.75,Mailed check,Yes,0
No,70,Two year,DSL,Yes,67.95,Mailed check,No,0
Yes,2,Month-to-month,DSL,Yes,55.05,Credit card (automatic),Yes,0
No,28,Month-to-month,Fiber optic,Yes,91.0,Electronic check,No,0
No,27,One year,No,No internet service,20.3,Mailed check,No,0
No,72,Two year,Fiber optic,No,90.8,Credit card (automatic),Yes,0
No,7,Month-to-month,DSL,No,24.7,Electronic check,Yes,0
No,31,Month-to-month,Fiber optic,No,84.85,Electronic check,Yes,1
Yes,33,Month-to-month,Fiber optic,No,104.4,Electronic check,Yes,0
No,68,Two year,No,No internet service,24.0,Bank transfer (automatic),Yes,0
No,32,Month-to-month,Fiber optic,No,91.05,Electronic check,No,0
No,4,Month-to-month,No,No internet service,19.0,Mailed check,No,0
No,64,One year,Fiber optic,No,100.3,Credit card (automatic),Yes,0
No,26,Month-to-month,Fiber optic,No,85.75,Electronic check,Yes,0
No,71,Two year,DSL,Yes,46.35,Credit card (automatic),No,1
Yes,13,Month-to-month,Fiber optic,No,80.85,Electronic check,Yes,0
No,41,Two year,Fiber optic,Yes,98.8,Bank transfer (automatic),Yes,0
Yes,8,Month-to-month,Fiber optic,No,86.55,Electronic check,Yes,0
No,41,Two year,No,No internet service,19.85,Mailed check,Yes,0
No,47,Two year,DSL,Yes,74.45,Mailed check,No,0
No,29,Month-to-month,Fiber optic,No,74.95,Electronic check,Yes,0
Yes,8,Month-to-month,DSL,No,29.4,Electronic check,Yes,1
Yes,57,Two year,Fiber optic,No,112.95,Bank transfer (automatic),Yes,0
No,42,Month-to-month,DSL,No,59.65,Bank transfer (automatic),No,0
No,57,Month-to-month,Fiber optic,Yes,87.55,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,74.7,Electronic check,Yes,1
No,45,Two year,No,No internet service,20.35,Mailed check,No,0
No,54,Month-to-month,Fiber optic,No,79.85,Bank transfer (automatic),Yes,0
Yes,33,Month-to-month,Fiber optic,No,94.5,Electronic check,Yes,1
No,52,One year,DSL,No,35.45,Mailed check,No,0
No,71,Two year,DSL,Yes,90.35,Electronic check,No,0
No,72,Two year,DSL,Yes,90.15,Bank transfer (automatic),Yes,1
No,72,Two year,DSL,Yes,90.25,Credit card (automatic),Yes,0
No,40,Two year,No,No internet service,24.8,Mailed check,Yes,0
No,64,Two year,DSL,Yes,54.6,Electronic check,Yes,0
No,26,Month-to-month,No,No internet service,20.25,Credit card (automatic),Yes,0
Yes,4,Month-to-month,DSL,No,24.45,Electronic check,Yes,0
No,52,One year,No,No internet service,20.85,Credit card (automatic),Yes,0
No,62,One year,Fiber optic,No,97.95,Credit card (automatic),Yes,1
No,42,One year,DSL,Yes,73.15,Electronic check,No,0
No,11,Month-to-month,Fiber optic,No,79.15,Credit card (automatic),Yes,1
Yes,68,Two year,Fiber optic,Yes,113.15,Electronic check,Yes,0
No,41,Month-to-month,Fiber optic,No,94.3,Bank transfer (automatic),Yes,0
No,72,Two year,DSL,Yes,64.8,Credit card (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,80.85,Mailed check,Yes,0
Yes,2,Month-to-month,Fiber optic,No,69.6,Electronic check,Yes,1
Yes,2,Month-to-month,Fiber optic,No,85.55,Electronic check,Yes,1
No,49,Two year,Fiber optic,Yes,100.65,Credit card (automatic),No,0
Yes,36,Month-to-month,Fiber optic,No,90.85,Electronic check,Yes,1
No,56,One year,Fiber optic,No,105.6,Credit card (automatic),Yes,0
No,72,Two year,Fiber optic,No,104.8,Bank transfer (automatic),Yes,0
Yes,71,Month-to-month,Fiber optic,No,105.1,Credit card (automatic),Yes,1
No,11,Month-to-month,Fiber optic,No,78.5,Electronic check,Yes,1
Yes,11,Month-to-month,Fiber optic,Yes,104.05,Bank transfer (automatic),Yes,1
Yes,51,One year,DSL,No,59.3,Electronic check,No,0
No,29,Month-to-month,Fiber optic,No,87.8,Credit card (automatic),Yes,0
No,53,One year,Fiber optic,Yes,97.75,Bank transfer (automatic),No,0
Yes,4,Month-to-month,DSL,No,49.4,Electronic check,Yes,0
No,46,Two year,No,No internet service,20.1,Mailed check,Yes,0
No,72,Two year,No,No internet service,24.55,Electronic check,No,0
No,63,One year,Fiber optic,No,81.15,Credit card (automatic),Yes,0
No,60,One year,Fiber optic,No,101.4,Bank transfer (automatic),Yes,1
Yes,10,Month-to-month,Fiber optic,No,100.25,Electronic check,Yes,0
Yes,3,Month-to-month,Fiber optic,No,101.55,Bank transfer (automatic),Yes,0
Yes,32,Month-to-month,Fiber optic,No,80.35,Bank transfer (automatic),Yes,0
No,35,Month-to-month,Fiber optic,Yes,95.5,Electronic check,No,0
No,72,Two year,Fiber optic,Yes,111.65,Bank transfer (automatic),Yes,1
No,48,One year,DSL,No,55.8,Credit card (automatic),Yes,0
Yes,32,Month-to-month,Fiber optic,No,85.95,Credit card (automatic),Yes,1
No,53,Month-to-month,DSL,No,48.7,Bank transfer (automatic),Yes,0
No,7,Month-to-month,DSL,Yes,62.8,Bank transfer (automatic),No,0
No,46,Two year,No,No internet service,19.95,Electronic check,No,0
No,12,Month-to-month,DSL,Yes,50.95,Bank transfer (automatic),Yes,0
No,64,One year,Fiber optic,No,92.85,Electronic check,Yes,0
No,15,One year,No,No internet service,19.65,Mailed check,No,0
No,41,Month-to-month,Fiber optic,No,98.05,Bank transfer (automatic),No,0
No,51,One year,No,No internet service,24.6,Bank transfer (automatic),Yes,0
No,28,One year,DSL,No,51.0,Electronic check,Yes,1
No,66,Two year,DSL,Yes,61.35,Bank transfer (automatic),Yes,0
Yes,2,Month-to-month,Fiber optic,No,87.15,Bank transfer (automatic),Yes,0
No,43,Two year,DSL,Yes,79.15,Credit card (automatic),Yes,0
No,58,Two year,DSL,Yes,75.8,Mailed check,No,0
No,66,Two year,DSL,No,79.85,Bank transfer (automatic),No,0
No,71,Two year,Fiber optic,Yes,114.6,Bank transfer (automatic),No,0
No,31,Two year,No,No internet service,25.75,Mailed check,No,0
No,71,One year,No,No internet service,20.85,Electronic check,No,0
No,31,Month-to-month,Fiber optic,Yes,90.55,Credit card (automatic),Yes,0
No,48,Two year,Fiber optic,No,96.9,Bank transfer (automatic),Yes,0
No,72,Two year,DSL,No,73.45,Credit card (automatic),Yes,1
No,72,Two year,DSL,Yes,77.35,Credit card (automatic),No,1
No,54,Month-to-month,Fiber optic,No,99.05,Credit card (automatic),Yes,1
No,72,Two year,No,No internet service,25.1,Credit card (automatic),Yes,1
No,60,Month-to-month,Fiber optic,No,94.1,Credit card (automatic),Yes,0
No,65,One year,Fiber optic,No,107.45,Electronic check,Yes,1
No,34,Month-to-month,DSL,Yes,44.85,Electronic check,Yes,0
No,37,Two year,DSL,Yes,61.45,Credit card (automatic),No,0
No,4,Month-to-month,Fiber optic,No,90.65,Electronic check,No,0
No,62,Month-to-month,Fiber optic,No,105.5,Electronic check,Yes,0
No,52,One year,Fiber optic,No,80.2,Mailed check,Yes,0
No,8,Month-to-month,No,No internet service,20.25,Mailed check,No,0
No,69,Two year,No,No internet service,19.4,Mailed check,No,0
No,12,Month-to-month,Fiber optic,No,89.55,Electronic check,Yes,0
No,5,Month-to-month,DSL,No,25.05,Mailed check,No,0
Yes,2,Month-to-month,Fiber optic,No,94.95,Electronic check,No,0
No,1,Month-to-month,DSL,No,24.2,Mailed check,No,0
No,28,Month-to-month,DSL,No,56.05,Electronic check,No,0
No,3,Month-to-month,DSL,Yes,64.6,Electronic check,No,0
No,58,Two year,No,No internet service,24.45,Credit card (automatic),Yes,0
Yes,1,Month-to-month,No,No internet service,20.2,Mailed check,Yes,0
Yes,9,Month-to-month,Fiber optic,No,84.4,Credit card (automatic),Yes,1
No,71,Two year,Fiber optic,No,105.15,Bank transfer (automatic),Yes,0
No,72,Two year,DSL,Yes,65.65,Bank transfer (automatic),Yes,0
Yes,13,Month-to-month,Fiber optic,No,79.8,Electronic check,Yes,0
Yes,51,Month-to-month,Fiber optic,No,94.65,Electronic check,Yes,0
No,2,Month-to-month,DSL,No,45.85,Mailed check,Yes,0
Yes,20,Month-to-month,Fiber optic,No,88.7,Electronic check,Yes,0
No,18,Month-to-month,DSL,Yes,50.3,Mailed check,Yes,0
No,37,One year,Fiber optic,Yes,104.5,Credit card (automatic),Yes,0
No,50,Month-to-month,Fiber optic,No,83.4,Electronic check,Yes,1
No,21,Month-to-month,No,No internet service,20.75,Mailed check,No,0
Yes,36,Month-to-month,Fiber optic,No,85.25,Credit card (automatic),Yes,1
No,69,Two year,Fiber optic,Yes,114.35,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,70.6,Electronic check,Yes,0
No,72,One year,Fiber optic,No,104.45,Credit card (automatic),Yes,0
No,71,Two year,DSL,Yes,91.05,Mailed check,No,0
Yes,1,Month-to-month,DSL,No,35.75,Electronic check,Yes,0
Yes,5,Month-to-month,Fiber optic,No,93.9,Mailed check,Yes,0
Yes,34,Month-to-month,Fiber optic,No,106.35,Electronic check,Yes,0
No,38,One year,No,No internet service,20.05,Mailed check,No,0
No,22,Month-to-month,Fiber optic,No,95.1,Electronic check,Yes,0
No,45,Month-to-month,DSL,No,50.9,Bank transfer (automatic),Yes,0
Yes,8,Month-to-month,Fiber optic,No,84.0,Electronic check,Yes,1
No,15,Month-to-month,No,No internet service,19.8,Mailed check,No,0
Yes,52,Month-to-month,Fiber optic,No,104.2,Electronic check,Yes,1
No,66,One year,DSL,No,45.55,Bank transfer (automatic),No,1
No,66,One year,DSL,Yes,63.85,Credit card (automatic),Yes,1
Yes,32,Month-to-month,Fiber optic,No,80.3,Credit card (automatic),Yes,1
No,12,Month-to-month,DSL,No,45.05,Electronic check,Yes,0
No,32,Month-to-month,DSL,Yes,76.3,Bank transfer (automatic),No,0
